,url,language,text,surprise,sadness
0,https://poligrafo.sapo.pt/fact-check/transporte-ferroviario-de-passageiros-ja-voltou-aos-niveis-pre-pandemia,pt,"'Suburbanos e Metropolitanos voltaram a encher nos últimos meses, mais pessoas que antes da pandemia",0.0,0.5
1,https://poligrafo.sapo.pt/fact-check/guerra-da-ucrania-reino-unido-bloqueou-e-congelou-os-bens-de-roman-abramovich,pt," Ainda assim, está em causa a transferência de jogadores e a venda de bilhetes e merchandising",0.33,0.0
2,https://poligrafo.sapo.pt/fact-check/quatro-cacas-f-16-de-portugal-foram-mobilizados-para-a-fronteira-polonia-ucrania,pt," Pretende-se assim reafirmar o compromisso de defesa coletiva, exercitar a interoperabilidade e dissuadir possíveis ameaças'",0.0,0.25
3,https://poligrafo.sapo.pt/fact-check/salarios-reais-descontando-a-inflacao-em-portugal-baixaram-09-desde-o-ano-de-2000,pt," Pela negativa destacam-se Portugal e Grécia (-0,9%), onde os salários reais até diminuíram no referido período temporal",0.0,0.33
4,https://poligrafo.sapo.pt/fact-check/preco-do-gasoleo-em-portugal-e-quase-o-dobro-em-comparacao-com-os-eua-polonia-ou-ucrania,pt,"Quanto à Ucrânia, em situação de guerra contra a Rússia, registou um preço médio de venda do gasóleo de 1,064 euros por litro, valor quase idêntico ao da lista",0.0,0.25
5,https://poligrafo.sapo.pt/fact-check/gas-natural-esta-10-vezes-mais-caro-do-que-ha-um-ano,pt," Esta segunda-feira, recuam 10,66%, para 117,25 euros por MWh, longe do recorde de 345 euros atingido há uma semana, quando os preços registaram uma subida inédita intradiária de 75%', informou",0.0,0.25
6,https://poligrafo.sapo.pt/fact-check/mais-de-60-da-populacao-portuguesa-vive-com-menos-de-30-dolares-por-dia,pt," Em 1984, esta variável cifrava-se nos 90,2% e, a partir de 2000, o seguinte máximo histórico foi atingido em 2012, com 74,25% da população a viver com menos de 30 dólares por dia",1.0,0.0
7,https://poligrafo.sapo.pt/fact-check/polonia-baixou-impostos-sobre-combustiveis-e-alimentos-para-mitigar-os-efeitos-da-guerra,pt,"'Na Polónia, o Governo, para mitigar os efeitos da guerra, baixou os impostos sobre os combustíveis de 23% para 8% e na alimentação [para] 0%",0.0,0.4
8,https://poligrafo.sapo.pt/fact-check/esta-fotografia-retrata-a-primeira-dama-da-ucrania-em-combate-na-guerra-contra-a-russia,pt,"º aniversário do Dia da Independência da Ucrânia, comemorado a 24 de agosto",0.17,0.17
9,https://poligrafo.sapo.pt/fact-check/chega-votou-contra-margens-maximas-de-comercializacao-dos-combustiveis,pt,Não foi a única vez que o líder e deputado único do Chega votou contra iniciativas visando conter ou limitar os aumentos dos preços dos combustíveis,0.43,0.14
10,https://poligrafo.sapo.pt/fact-check/gabinetes-do-governo-de-costa-tem-mais-246-funcionarios-em-comparacao-com-o-governo-de-passos-coelho,pt,"Assim, é verdade que o número de funcionários contratados para os gabinetes dos membros do Governo aumentou em 246 na comparação com 2014, ano em que se registou o valor mais alto (durante o Governo de Passos Coelho) associado a esta variável",0.08,0.0
11,https://poligrafo.sapo.pt/fact-check/imagem-viral-mostra-o-papa-francisco-a-beijar-as-maos-de-david-rockefeller-e-john-rothschild,pt, Nesse dia lamentou a tragédia e rezou para que ela não se repetisse:,0.0,0.5
12,https://poligrafo.sapo.pt/fact-check/turismo-em-portugal-ja-tinha-recuperado-para-niveis-pre-pandemia-antes-da-guerra-na-ucrania,pt," Os níveis atingidos em janeiro de 2022 foram, no entanto, inferiores aos observados em janeiro de 2020, quando ainda não havia efeitos da pandemia, com reduções de 39,9% nos hóspedes e 38,8% nas dormidas', informou o INE",0.0,0.6
13,https://poligrafo.sapo.pt/fact-check/mais-de-10-mil-professores-abandonaram-a-profissao-em-10-anos,pt," Em declarações ao jornal, Mário Nogueira, secretário-geral da Federação Nacional dos Professores (Fenprof), sublinhou que 'mais de 10 mil professores saíram da profissão e não estão para voltar porque as condições são as que nós sabemos",0.33,0.33
14,https://poligrafo.sapo.pt/fact-check/diferenca-do-salario-medio-entre-os-setores-publico-e-privado-ascende-a-mais-de-500-euros,pt,"700 euros para o funcionário no final de cada mês, sendo que a empresa tem que pagar cerca de 3",0.0,0.5
15,https://poligrafo.sapo.pt/fact-check/parlamento-da-eslovaquia-classificou-partido-comunista-como-organizacao-criminosa,pt," Portugal destaca-se (pela negativa) na cauda da Europa, em contraste com os países da Europa de Leste que fizeram parte integrante da União das Repúblicas Socialistas Soviéticas (URSS) ou do Pacto de Varsóvia",0.0,1.0
16,https://poligrafo.sapo.pt/fact-check/este-video-mostra-o-coro-do-exercito-russo-a-ser-preso-por-cantar-sobre-a-paz,pt,"Apesar da dificuldade de analisar publicações em língua russa conseguimos identificar uma primeira partilha em 2015, na aplicação Coub",0.0,0.5
17,https://poligrafo.sapo.pt/fact-check/universidade-johns-hopkins-confirma-vacinacao-de-pessoas-sem-saberem-atraves-dos-testes-pcr,pt,"Além disso, a Johns Hopkins Medicine, em esclarecimentos prestados à 'Lead Stories', destacou que um artigo sobre esta tecnologia, publicado em novembro de 2020 na sua página institucional, 'tem sido inadvertidamente utilizado com propósitos desinformativos, durante a pandemia'",0.0,0.5
18,https://poligrafo.sapo.pt/fact-check/cine-check-disney-boicotou-o-filme-anastasia-por-causa-da-guerra-na-ucrania,pt," Infelizmente, este mês, o clássico de animação da 20th Century Studios, “Anastasia”, foi retirado da Disney+ nos EUA",0.0,1.0
19,https://poligrafo.sapo.pt/fact-check/putin-anunciou-que-vai-lancar-misseis-contra-nairobi-e-destruir-o-quenia,pt, Como é que o Quénia pode invadir as nossas missões? O Quénia colocou-se numa guerra na qual não pode disparar uma única bala,0.22,0.22
