,Word,appeal,sentiment,behaviour,mind
240,experience,behaviour,0.0,1.0,0.0
241,eye,,,,
242,house,,,,
243,class,,,,
244,sad,,,,
245,fact,,,,
246,close,,,,
247,get,behaviour,0.0,1.0,0.0
248,feel,sentiment,1.0,0.0,0.0
249,easy,,,,
250,thing,,,,
251,writing,,,,
252,good,,,,
253,turn,behaviour,0.0,1.0,0.0
254,feeling,,,,
255,walk,behaviour,0.0,1.0,0.0
256,call,mind,0.0,0.0,1.0
257,cool,,,,
258,family,,,,
259,happy,,,,
260,old,,,,
261,happen,,,,
262,help,,,,
263,have,behaviour,0.0,1.0,0.0
264,meet,behaviour,0.0,1.0,0.0
265,new,,,,
266,guy,,,,
267,leave,mind,0.0,0.0,1.0
268,love,sentiment,1.0,0.0,0.0
269,look,behaviour,0.0,1.0,0.0
270,hope,sentiment,1.0,0.0,0.0
271,talk,behaviour,0.0,1.0,0.0
272,school,,,,
273,work,behaviour,0.0,1.0,0.0
274,friend,,,,
275,want,sentiment,1.0,0.0,0.0
